id_segmentasi,id_tenant,txt_latar_belakang,txt_noble_purpose,txt_konsumen,txt_produk_inovatif,txt_strategi_pemasaran,txt_sumber_daya,txt_keuangan_narrative,txt_rab_narrative,parsing_status,full_proposal,feat_completeness_latar_belakang,feat_completeness_deskripsi_usaha,feat_completeness_rab,feat_depth_latar_belakang,feat_depth_deskripsi_usaha,feat_depth_rab,feat_keywords_latar_belakang,feat_keywords_deskripsi_usaha,feat_keywords_rab,feat_numerical_latar_belakang,feat_numerical_deskripsi_usaha,feat_numerical_rab,feat_structure_latar_belakang,feat_structure_deskripsi_usaha,feat_structure_rab,skor_latar_belakang,skor_deskripsi_usaha,skor_rab,bobot_latar_belakang,bobot_deskripsi_usaha,bobot_rab,nilai_total_akhir,rekomendasi_sistem,waktu_penilaian,id_penilaian
1,1,Antrian di puskesmas daerah Bandung rata-rata memakan waktu 3 jam. Banyak pasien lansia kelelahan menunggu. Sistem pendaftaran manual sering menyebabkan data hilang.,"Meningkatkan akses kesehatan masyarakat yang manusiawi dan efisien melalui teknologi, serta mengurangi beban administrasi tenaga medis.","Target utama adalah pasien BPJS di area urban Bandung Raya usia 20-50 tahun yang tech-savvy, serta lansia yang didampingi keluarga.",Aplikasi AntriSehat menggunakan algoritma estimasi waktu real-time dan integrasi NIK untuk rekam medis sederhana. Fitur notifikasi WA otomatis.,"Kerjasama B2G dengan Dinas Kesehatan Kota Bandung, promosi via puskesmas, dan iklan Facebook Ads menargetkan keluarga muda.","Tim terdiri dari 1 Fullstack Dev Ex-Tokopedia , 1 Dokter Umum sebagai advisor medis, dan 1 UI UX Designer.",Proyeksi pendapatan dari biaya langganan klinik swasta Rp 500rb bulan. Burn rate saat ini Rp 5jt bulan.,"Dana 50 juta akan digunakan untuk sewa cloud server 20 , gaji developer paruh waktu 50 , dan marketing offline 30 .",Success,"[LATAR BELAKANG] Antrian di puskesmas daerah Bandung rata-rata memakan waktu 3 jam. Banyak pasien lansia kelelahan menunggu. Sistem pendaftaran manual sering menyebabkan data hilang. [SEP] [NOBLE PURPOSE] Meningkatkan akses kesehatan masyarakat yang manusiawi dan efisien melalui teknologi, serta mengurangi beban administrasi tenaga medis. [SEP] [KONSUMEN] Target utama adalah pasien BPJS di area urban Bandung Raya usia 20-50 tahun yang tech-savvy, serta lansia yang didampingi keluarga. [SEP] [PRODUK INOVATIF] Aplikasi AntriSehat menggunakan algoritma estimasi waktu real-time dan integrasi NIK untuk rekam medis sederhana. Fitur notifikasi WA otomatis. [SEP] [STRATEGI PEMASARAN] Kerjasama B2G dengan Dinas Kesehatan Kota Bandung, promosi via puskesmas, dan iklan Facebook Ads menargetkan keluarga muda. [SEP] [SUMBER DAYA] Tim terdiri dari 1 Fullstack Dev Ex-Tokopedia , 1 Dokter Umum sebagai advisor medis, dan 1 UI UX Designer. [SEP] [KEUANGAN NARRATIVE] Proyeksi pendapatan dari biaya langganan klinik swasta Rp 500rb bulan. Burn rate saat ini Rp 5jt bulan. [SEP] [RAB NARRATIVE] Dana 50 juta akan digunakan untuk sewa cloud server 20 , gaji developer paruh waktu 50 , dan marketing offline 30 .",100.0,100.0,100.0,28.7,58.449999999999996,37.7,0.0,14.285714285714285,0.0,33.0,65.0,42.0,30,45,30,40.19,56.76,43.34,2.01,48.25,4.33,54.59,Perlu Review Manual,2025-12-16 11:08:48,1
2,2,Meningkatnya obesitas di kalangan mahasiswa karena konsumsi junk food murah. Sulit mencari makanan sehat yang ramah kantong mahasiswa.,Menyediakan makanan bergizi seimbang dengan harga terjangkau untuk menciptakan generasi muda yang lebih sehat.,"Mahasiswa universitas di Jatinangor dan Bandung, serta pekerja kantoran entry-level yang sadar kesehatan.",Catering SaladIn Aja dengan dressing rendah kalori buatan sendiri. Kemasan biodegradable dari singkong.,"Bundling paket mingguan diskon 10 , kolaborasi dengan himpunan mahasiswa, dan paid promote akun kuliner Bandung.","Dapur produksi milik sendiri, 2 juru masak berpengalaman, dan armada pengiriman motor listrik.","HPP per porsi Rp 12.000, harga jual Rp 20.000. Profit margin 40 . Rata-rata penjualan 50 porsi hari.",Dana hibah untuk pembelian chiller kapasitas besar 10jt dan sewa ruko dekat kampus 15jt .,Success,"[LATAR BELAKANG] Meningkatnya obesitas di kalangan mahasiswa karena konsumsi junk food murah. Sulit mencari makanan sehat yang ramah kantong mahasiswa. [SEP] [NOBLE PURPOSE] Menyediakan makanan bergizi seimbang dengan harga terjangkau untuk menciptakan generasi muda yang lebih sehat. [SEP] [KONSUMEN] Mahasiswa universitas di Jatinangor dan Bandung, serta pekerja kantoran entry-level yang sadar kesehatan. [SEP] [PRODUK INOVATIF] Catering SaladIn Aja dengan dressing rendah kalori buatan sendiri. Kemasan biodegradable dari singkong. [SEP] [STRATEGI PEMASARAN] Bundling paket mingguan diskon 10 , kolaborasi dengan himpunan mahasiswa, dan paid promote akun kuliner Bandung. [SEP] [SUMBER DAYA] Dapur produksi milik sendiri, 2 juru masak berpengalaman, dan armada pengiriman motor listrik. [SEP] [KEUANGAN NARRATIVE] HPP per porsi Rp 12.000, harga jual Rp 20.000. Profit margin 40 . Rata-rata penjualan 50 porsi hari. [SEP] [RAB NARRATIVE] Dana hibah untuk pembelian chiller kapasitas besar 10jt dan sewa ruko dekat kampus 15jt .",100.0,100.0,100.0,27.3,51.45,35.25,0.0,6.122448979591836,0.0,0.0,80.0,36.0,30,75,30,34.96,60.07,41.95,1.75,51.06,4.2,57.01,Perlu Review Manual,2025-12-16 11:08:48,2
3,3,Orang malas mencuci sepatu sendiri karena sibuk bekerja. Sepatu branded butuh perawatan khusus agar tidak rusak.,Membantu orang tampil percaya diri dengan alas kaki yang bersih dan terawat.,Mahasiswa yang aktif organisasi dan karyawan swasta di area Dago.,Jasa cuci sepatu DeepClean menggunakan sabun organik premium yang tidak merusak lem sepatu. Garansi cuci ulang jika tidak bersih.,"Instagram ads menargetkan interest sneakerhead, serta brosur fisik di kos-kosan eksklusif.",Saya sendiri sebagai owner sertifikasi shoe care dan 1 karyawan part-time admin medsos.,Omzet rata-rata 3 juta per bulan dengan profit bersih 1.5 juta.,Butuh modal untuk beli mesin pengering sepatu khusus UV Sterilizer dan stok sabun premium import.,Success,"[LATAR BELAKANG] Orang malas mencuci sepatu sendiri karena sibuk bekerja. Sepatu branded butuh perawatan khusus agar tidak rusak. [SEP] [NOBLE PURPOSE] Membantu orang tampil percaya diri dengan alas kaki yang bersih dan terawat. [SEP] [KONSUMEN] Mahasiswa yang aktif organisasi dan karyawan swasta di area Dago. [SEP] [PRODUK INOVATIF] Jasa cuci sepatu DeepClean menggunakan sabun organik premium yang tidak merusak lem sepatu. Garansi cuci ulang jika tidak bersih. [SEP] [STRATEGI PEMASARAN] Instagram ads menargetkan interest sneakerhead, serta brosur fisik di kos-kosan eksklusif. [SEP] [SUMBER DAYA] Saya sendiri sebagai owner sertifikasi shoe care dan 1 karyawan part-time admin medsos. [SEP] [KEUANGAN NARRATIVE] Omzet rata-rata 3 juta per bulan dengan profit bersih 1.5 juta. [SEP] [RAB NARRATIVE] Butuh modal untuk beli mesin pengering sepatu khusus UV Sterilizer dan stok sabun premium import.",100.0,100.0,100.0,26.6,47.599999999999994,35.25,0.0,4.081632653061225,12.5,0.0,57.0,0.0,30,45,30,34.82,50.84,39.67,1.74,43.21,3.97,48.92,Ditolak,2025-12-16 11:08:48,3
4,4,Tanah pertanian di Lembang makin kritis akibat penggunaan pupuk kimia berlebih. Produktivitas panen menurun 20 dalam 5 tahun terakhir.,Mengembalikan kesuburan tanah ibu pertiwi dan meningkatkan pendapatan petani melalui pertanian berkelanjutan.,Petani sayur hortikultura di Jawa Barat dan komunitas urban farming perumahan.,"Pupuk cair hayati SuburMax hasil fermentasi limbah sayur pasar, mengandung mikroba pengurai yang mempercepat masa panen.","Penyuluhan gratis ke kelompok tani Gapoktan , demo plot pertanian, dan penjualan via marketplace TaniHub.",Kerjasama dengan lab tanah IPB untuk QC. Akses ke 5 ton limbah sayur per hari dari Pasar Caringin.,"Biaya produksi Rp 5.000 liter, dijual Rp 25.000 liter ke agen. Potensi pasar Rp 2 Miliar per tahun di Bandung Barat.","RAB 100 juta 40 mesin pencacah limbah, 30 tong fermentasi, 30 biaya operasional awal.",Success,"[LATAR BELAKANG] Tanah pertanian di Lembang makin kritis akibat penggunaan pupuk kimia berlebih. Produktivitas panen menurun 20 dalam 5 tahun terakhir. [SEP] [NOBLE PURPOSE] Mengembalikan kesuburan tanah ibu pertiwi dan meningkatkan pendapatan petani melalui pertanian berkelanjutan. [SEP] [KONSUMEN] Petani sayur hortikultura di Jawa Barat dan komunitas urban farming perumahan. [SEP] [PRODUK INOVATIF] Pupuk cair hayati SuburMax hasil fermentasi limbah sayur pasar, mengandung mikroba pengurai yang mempercepat masa panen. [SEP] [STRATEGI PEMASARAN] Penyuluhan gratis ke kelompok tani Gapoktan , demo plot pertanian, dan penjualan via marketplace TaniHub. [SEP] [SUMBER DAYA] Kerjasama dengan lab tanah IPB untuk QC. Akses ke 5 ton limbah sayur per hari dari Pasar Caringin. [SEP] [KEUANGAN NARRATIVE] Biaya produksi Rp 5.000 liter, dijual Rp 25.000 liter ke agen. Potensi pasar Rp 2 Miliar per tahun di Bandung Barat. [SEP] [RAB NARRATIVE] RAB 100 juta 40 mesin pencacah limbah, 30 tong fermentasi, 30 biaya operasional awal.",100.0,100.0,100.0,27.65,53.55,25.9,0.0,4.081632653061225,25.0,36.0,80.0,42.0,30,45,30,40.43,55.48,47.23,2.02,47.16,4.72,53.9,Perlu Review Manual,2025-12-16 11:08:48,4
5,5,Banyak limbah kain perca dari konveksi yang dibuang sembarangan dan mencemari lingkungan.,Mengurangi limbah tekstil dengan mengubahnya menjadi produk bernilai guna tinggi.,Anak muda usia 18-25 tahun yang suka fashion unik dan peduli lingkungan.,Tas totebag dan pouch dari kain perca dengan desain patchwork yang estetik dan limited edition.,Jual di Instagram dan TikTok Shop dengan konten behind the scene pembuatan produk.,Mesin jahit satu buah dan kemampuan menjahit dasar.,Belum ada laporan keuangan detail karena baru mulai jualan ke teman dekat.,"Beli kain perca karungan, benang, dan jarum jahit.",Partial,"[LATAR BELAKANG] Banyak limbah kain perca dari konveksi yang dibuang sembarangan dan mencemari lingkungan. [SEP] [NOBLE PURPOSE] Mengurangi limbah tekstil dengan mengubahnya menjadi produk bernilai guna tinggi. [SEP] [KONSUMEN] Anak muda usia 18-25 tahun yang suka fashion unik dan peduli lingkungan. [SEP] [PRODUK INOVATIF] Tas totebag dan pouch dari kain perca dengan desain patchwork yang estetik dan limited edition. [SEP] [STRATEGI PEMASARAN] Jual di Instagram dan TikTok Shop dengan konten behind the scene pembuatan produk. [SEP] [SUMBER DAYA] Mesin jahit satu buah dan kemampuan menjahit dasar. [SEP] [KEUANGAN NARRATIVE] Belum ada laporan keuangan detail karena baru mulai jualan ke teman dekat. [SEP] [RAB NARRATIVE] Beli kain perca karungan, benang, dan jarum jahit.",100.0,100.0,0.0,25.2,45.5,23.8,0.0,8.16326530612245,0.0,0.0,36.0,0.0,30,45,30,34.54,48.29,9.26,1.73,41.05,0.93,43.71,Ditolak,2025-12-16 11:08:48,5
6,6,Pemborosan listrik rumah tangga sering terjadi karena lupa mematikan lampu atau AC. Tagihan listrik membengkak.,Mewujudkan gaya hidup hemat energi dan ramah lingkungan melalui teknologi pintar.,Pemilik rumah di komplek perumahan modern dan pemilik kos-kosan.,Perangkat IoT SmartSwitch yang bisa mengontrol saklar lampu via HP dari jarak jauh. Dilengkapi sensor gerak.,"Penjualan langsung via Tokopedia dan Shopee, serta demo produk di pameran properti.",Tim 3 orang mahasiswa Teknik Elektro UNIKOM. Sudah punya prototype 3D print.,"Estimasi HPP Rp 50.000 per device, harga jual Rp 150.000.",Dana untuk produksi massal molding casing plastik dan pembelian komponen mikrokontroler ESP8266.,Success,"[LATAR BELAKANG] Pemborosan listrik rumah tangga sering terjadi karena lupa mematikan lampu atau AC. Tagihan listrik membengkak. [SEP] [NOBLE PURPOSE] Mewujudkan gaya hidup hemat energi dan ramah lingkungan melalui teknologi pintar. [SEP] [KONSUMEN] Pemilik rumah di komplek perumahan modern dan pemilik kos-kosan. [SEP] [PRODUK INOVATIF] Perangkat IoT SmartSwitch yang bisa mengontrol saklar lampu via HP dari jarak jauh. Dilengkapi sensor gerak. [SEP] [STRATEGI PEMASARAN] Penjualan langsung via Tokopedia dan Shopee, serta demo produk di pameran properti. [SEP] [SUMBER DAYA] Tim 3 orang mahasiswa Teknik Elektro UNIKOM. Sudah punya prototype 3D print. [SEP] [KEUANGAN NARRATIVE] Estimasi HPP Rp 50.000 per device, harga jual Rp 150.000. [SEP] [RAB NARRATIVE] Dana untuk produksi massal molding casing plastik dan pembelian komponen mikrokontroler ESP8266.",100.0,100.0,100.0,26.25,45.5,25.2,0.0,8.16326530612245,0.0,0.0,80.0,33.0,30,45,30,34.75,54.89,39.49,1.74,46.66,3.95,52.35,Perlu Review Manual,2025-12-16 11:08:48,6
7,7,Mahasiswa sering kesulitan mencari teman belajar atau mentor sebaya untuk mata kuliah sulit.,Meningkatkan kualitas akademik mahasiswa melalui kolaborasi peer-to-peer.,Mahasiswa tingkat awal yang kesulitan adaptasi akademik.,"Platform TutorKuy , marketplace jasa tutor sebaya. Mahasiswa pintar bisa dapat uang saku tambahan.",Promosi lewat BEM dan Himpunan Mahasiswa. Diskon referral kode teman.,Founder bisa coding web ReactJS . Butuh co-founder marketing.,Monetisasi dari potongan 10 setiap transaksi booking tutor.,Sewa server AWS dan biaya marketing awal untuk bakar uang promo user baru .,Success,"[LATAR BELAKANG] Mahasiswa sering kesulitan mencari teman belajar atau mentor sebaya untuk mata kuliah sulit. [SEP] [NOBLE PURPOSE] Meningkatkan kualitas akademik mahasiswa melalui kolaborasi peer-to-peer. [SEP] [KONSUMEN] Mahasiswa tingkat awal yang kesulitan adaptasi akademik. [SEP] [PRODUK INOVATIF] Platform TutorKuy , marketplace jasa tutor sebaya. Mahasiswa pintar bisa dapat uang saku tambahan. [SEP] [STRATEGI PEMASARAN] Promosi lewat BEM dan Himpunan Mahasiswa. Diskon referral kode teman. [SEP] [SUMBER DAYA] Founder bisa coding web ReactJS . Butuh co-founder marketing. [SEP] [KEUANGAN NARRATIVE] Monetisasi dari potongan 10 setiap transaksi booking tutor. [SEP] [RAB NARRATIVE] Sewa server AWS dan biaya marketing awal untuk bakar uang promo user baru .",100.0,100.0,100.0,25.55,40.25,25.9,0.0,8.16326530612245,12.5,0.0,33.0,0.0,30,45,30,34.61,46.79,37.8,1.73,39.77,3.78,45.28,Ditolak,2025-12-16 11:08:48,7
8,8,Banyak UMKM kuliner bangkrut karena tidak bisa mengelola keuangan. Pencatatan manual sering salah hitung.,Membantu UMKM naik kelas dengan manajemen keuangan yang rapi dan akuntabel.,"Pemilik warung makan, cafe kecil, dan pedagang pasar.",Aplikasi Kasir WarungPintar dengan fitur AI yang bisa memprediksi stok bahan baku habis.,Direct sales mendatangi sentra kuliner dan memberikan trial gratis 1 bulan.,"Tim terdiri dari hacker IT , hipster Desain , dan hustler Bisnis .",Belum ada revenue. Fokus akuisisi user dulu.,Biaya operasional tim selama 6 bulan pengembangan produk.,Success,"[LATAR BELAKANG] Banyak UMKM kuliner bangkrut karena tidak bisa mengelola keuangan. Pencatatan manual sering salah hitung. [SEP] [NOBLE PURPOSE] Membantu UMKM naik kelas dengan manajemen keuangan yang rapi dan akuntabel. [SEP] [KONSUMEN] Pemilik warung makan, cafe kecil, dan pedagang pasar. [SEP] [PRODUK INOVATIF] Aplikasi Kasir WarungPintar dengan fitur AI yang bisa memprediksi stok bahan baku habis. [SEP] [STRATEGI PEMASARAN] Direct sales mendatangi sentra kuliner dan memberikan trial gratis 1 bulan. [SEP] [SUMBER DAYA] Tim terdiri dari hacker IT , hipster Desain , dan hustler Bisnis . [SEP] [KEUANGAN NARRATIVE] Belum ada revenue. Fokus akuisisi user dulu. [SEP] [RAB NARRATIVE] Biaya operasional tim selama 6 bulan pengembangan produk.",100.0,83.33333333333334,100.0,25.9,43.05,23.8,0.0,6.122448979591836,25.0,0.0,33.0,33.0,30,45,30,34.68,42.67,45.46,1.73,36.27,4.55,42.55,Ditolak,2025-12-16 11:08:48,8
9,9,Sampah plastik botol minum menumpuk di area kampus. Tempat sampah sering penuh dan tidak terpilah.,Menciptakan lingkungan kampus zero waste.,Civitas akademika kampus.,"Reverse Vending Machine RVM buatan lokal. Masukkan botol plastik, keluar saldo e-wallet.",Kerjasama dengan pihak kampus untuk penempatan mesin di kantin.,Kami punya desain mekanik mesin. Belum ada prototype fungsi penuh.,Pendapatan dari penjualan cacahan plastik ke pabrik daur ulang.,Pembuatan 1 unit prototype mesin RVM membutuhkan biaya 20 juta.,Success,"[LATAR BELAKANG] Sampah plastik botol minum menumpuk di area kampus. Tempat sampah sering penuh dan tidak terpilah. [SEP] [NOBLE PURPOSE] Menciptakan lingkungan kampus zero waste. [SEP] [KONSUMEN] Civitas akademika kampus. [SEP] [PRODUK INOVATIF] Reverse Vending Machine RVM buatan lokal. Masukkan botol plastik, keluar saldo e-wallet. [SEP] [STRATEGI PEMASARAN] Kerjasama dengan pihak kampus untuk penempatan mesin di kantin. [SEP] [SUMBER DAYA] Kami punya desain mekanik mesin. Belum ada prototype fungsi penuh. [SEP] [KEUANGAN NARRATIVE] Pendapatan dari penjualan cacahan plastik ke pabrik daur ulang. [SEP] [RAB NARRATIVE] Pembuatan 1 unit prototype mesin RVM membutuhkan biaya 20 juta.",100.0,66.66666666666666,100.0,26.25,37.8,24.5,0.0,2.0408163265306123,12.5,0.0,0.0,36.0,30,45,30,34.75,31.49,42.92,1.74,26.77,4.29,32.8,Ditolak,2025-12-16 11:08:48,9
10,10,Susah cari tukang servis elektronik yang terpercaya dan transparan harganya. Sering ditipu ganti sparepart palsu.,Memberikan rasa aman dan nyaman bagi masyarakat yang membutuhkan perbaikan elektronik.,Ibu rumah tangga dan anak kos yang tidak paham teknis elektronik.,"Platform ServisIn , on-demand service untuk perbaikan AC, Kulkas, TV. Teknisi terverifikasi SKCK.",Iklan Google Search untuk kata kunci servis AC Bandung .,Database 50 teknisi mitra di Bandung.,Bagi hasil 80 20 dengan mitra teknisi.,Pengembangan aplikasi Android untuk mitra dan user.,Success,"[LATAR BELAKANG] Susah cari tukang servis elektronik yang terpercaya dan transparan harganya. Sering ditipu ganti sparepart palsu. [SEP] [NOBLE PURPOSE] Memberikan rasa aman dan nyaman bagi masyarakat yang membutuhkan perbaikan elektronik. [SEP] [KONSUMEN] Ibu rumah tangga dan anak kos yang tidak paham teknis elektronik. [SEP] [PRODUK INOVATIF] Platform ServisIn , on-demand service untuk perbaikan AC, Kulkas, TV. Teknisi terverifikasi SKCK. [SEP] [STRATEGI PEMASARAN] Iklan Google Search untuk kata kunci servis AC Bandung . [SEP] [SUMBER DAYA] Database 50 teknisi mitra di Bandung. [SEP] [KEUANGAN NARRATIVE] Bagi hasil 80 20 dengan mitra teknisi. [SEP] [RAB NARRATIVE] Pengembangan aplikasi Android untuk mitra dan user.",100.0,66.66666666666666,100.0,26.25,41.3,23.45,0.0,4.081632653061225,0.0,0.0,39.0,0.0,30,45,30,34.75,38.55,34.19,1.74,32.77,3.42,37.93,Ditolak,2025-12-16 11:08:48,10
