id_segmentasi,id_tenant,txt_latar_belakang,txt_noble_purpose,txt_konsumen,txt_produk_inovatif,txt_strategi_pemasaran,txt_sumber_daya,txt_keuangan_narrative,txt_rab_narrative,parsing_status
1,1,Antrian di puskesmas daerah Bandung rata-rata memakan waktu 3 jam. Banyak pasien lansia kelelahan menunggu. Sistem pendaftaran manual sering menyebabkan data hilang.,"Meningkatkan akses kesehatan masyarakat yang manusiawi dan efisien melalui teknologi, serta mengurangi beban administrasi tenaga medis.","Target utama adalah pasien BPJS di area urban (Bandung Raya) usia 20-50 tahun yang tech-savvy, serta lansia yang didampingi keluarga.","Aplikasi ""AntriSehat"" menggunakan algoritma estimasi waktu real-time dan integrasi NIK untuk rekam medis sederhana. Fitur notifikasi WA otomatis.","Kerjasama B2G dengan Dinas Kesehatan Kota Bandung, promosi via puskesmas, dan iklan Facebook Ads menargetkan keluarga muda.","Tim terdiri dari 1 Fullstack Dev (Ex-Tokopedia), 1 Dokter Umum sebagai advisor medis, dan 1 UI/UX Designer.",Proyeksi pendapatan dari biaya langganan klinik swasta Rp 500rb/bulan. Burn rate saat ini Rp 5jt/bulan.,"Dana 50 juta akan digunakan untuk sewa cloud server (20%), gaji developer paruh waktu (50%), dan marketing offline (30%).",Success
2,2,Meningkatnya obesitas di kalangan mahasiswa karena konsumsi junk food murah. Sulit mencari makanan sehat yang ramah kantong mahasiswa.,Menyediakan makanan bergizi seimbang dengan harga terjangkau untuk menciptakan generasi muda yang lebih sehat.,"Mahasiswa universitas di Jatinangor dan Bandung, serta pekerja kantoran entry-level yang sadar kesehatan.","Catering ""SaladIn Aja"" dengan dressing rendah kalori buatan sendiri. Kemasan biodegradable dari singkong.","Bundling paket mingguan diskon 10%, kolaborasi dengan himpunan mahasiswa, dan paid promote akun kuliner Bandung.","Dapur produksi milik sendiri, 2 juru masak berpengalaman, dan armada pengiriman motor listrik.","HPP per porsi Rp 12.000, harga jual Rp 20.000. Profit margin 40%. Rata-rata penjualan 50 porsi/hari.",Dana hibah untuk pembelian chiller kapasitas besar (10jt) dan sewa ruko dekat kampus (15jt).,Success
3,3,Orang malas mencuci sepatu sendiri karena sibuk bekerja. Sepatu branded butuh perawatan khusus agar tidak rusak.,Membantu orang tampil percaya diri dengan alas kaki yang bersih dan terawat.,Mahasiswa yang aktif organisasi dan karyawan swasta di area Dago.,"Jasa cuci sepatu ""DeepClean"" menggunakan sabun organik premium yang tidak merusak lem sepatu. Garansi cuci ulang jika tidak bersih.","Instagram ads menargetkan interest sneakerhead, serta brosur fisik di kos-kosan eksklusif.",Saya sendiri sebagai owner (sertifikasi shoe care) dan 1 karyawan part-time admin medsos.,Omzet rata-rata 3 juta per bulan dengan profit bersih 1.5 juta.,Butuh modal untuk beli mesin pengering sepatu khusus (UV Sterilizer) dan stok sabun premium import.,Success
4,4,Tanah pertanian di Lembang makin kritis akibat penggunaan pupuk kimia berlebih. Produktivitas panen menurun 20% dalam 5 tahun terakhir.,Mengembalikan kesuburan tanah ibu pertiwi dan meningkatkan pendapatan petani melalui pertanian berkelanjutan.,Petani sayur hortikultura di Jawa Barat dan komunitas urban farming perumahan.,"Pupuk cair hayati ""SuburMax"" hasil fermentasi limbah sayur pasar, mengandung mikroba pengurai yang mempercepat masa panen.","Penyuluhan gratis ke kelompok tani (Gapoktan), demo plot pertanian, dan penjualan via marketplace TaniHub.",Kerjasama dengan lab tanah IPB untuk QC. Akses ke 5 ton limbah sayur per hari dari Pasar Caringin.,"Biaya produksi Rp 5.000/liter, dijual Rp 25.000/liter ke agen. Potensi pasar Rp 2 Miliar per tahun di Bandung Barat.","RAB 100 juta: 40% mesin pencacah limbah, 30% tong fermentasi, 30% biaya operasional awal.",Success
5,5,Banyak limbah kain perca dari konveksi yang dibuang sembarangan dan mencemari lingkungan.,Mengurangi limbah tekstil dengan mengubahnya menjadi produk bernilai guna tinggi.,Anak muda usia 18-25 tahun yang suka fashion unik dan peduli lingkungan.,Tas totebag dan pouch dari kain perca dengan desain patchwork yang estetik dan limited edition.,Jual di Instagram dan TikTok Shop dengan konten behind the scene pembuatan produk.,Mesin jahit satu buah dan kemampuan menjahit dasar.,Belum ada laporan keuangan detail karena baru mulai jualan ke teman dekat.,"Beli kain perca karungan, benang, dan jarum jahit.",Partial
6,6,Pemborosan listrik rumah tangga sering terjadi karena lupa mematikan lampu atau AC. Tagihan listrik membengkak.,Mewujudkan gaya hidup hemat energi dan ramah lingkungan melalui teknologi pintar.,Pemilik rumah di komplek perumahan modern dan pemilik kos-kosan.,"Perangkat IoT ""SmartSwitch"" yang bisa mengontrol saklar lampu via HP dari jarak jauh. Dilengkapi sensor gerak.","Penjualan langsung via Tokopedia dan Shopee, serta demo produk di pameran properti.",Tim 3 orang mahasiswa Teknik Elektro UNIKOM. Sudah punya prototype 3D print.,"Estimasi HPP Rp 50.000 per device, harga jual Rp 150.000.",Dana untuk produksi massal molding casing plastik dan pembelian komponen mikrokontroler ESP8266.,Success
7,7,Mahasiswa sering kesulitan mencari teman belajar atau mentor sebaya untuk mata kuliah sulit.,Meningkatkan kualitas akademik mahasiswa melalui kolaborasi peer-to-peer.,Mahasiswa tingkat awal yang kesulitan adaptasi akademik.,"Platform ""TutorKuy"", marketplace jasa tutor sebaya. Mahasiswa pintar bisa dapat uang saku tambahan.",Promosi lewat BEM dan Himpunan Mahasiswa. Diskon referral kode teman.,Founder bisa coding web (ReactJS). Butuh co-founder marketing.,Monetisasi dari potongan 10% setiap transaksi booking tutor.,Sewa server AWS dan biaya marketing awal untuk bakar uang (promo user baru).,Success
8,8,Banyak UMKM kuliner bangkrut karena tidak bisa mengelola keuangan. Pencatatan manual sering salah hitung.,Membantu UMKM naik kelas dengan manajemen keuangan yang rapi dan akuntabel.,"Pemilik warung makan, cafe kecil, dan pedagang pasar.","Aplikasi Kasir ""WarungPintar"" dengan fitur AI yang bisa memprediksi stok bahan baku habis.",Direct sales mendatangi sentra kuliner dan memberikan trial gratis 1 bulan.,"Tim terdiri dari hacker (IT), hipster (Desain), dan hustler (Bisnis).",Belum ada revenue. Fokus akuisisi user dulu.,Biaya operasional tim selama 6 bulan pengembangan produk.,Success
9,9,Sampah plastik botol minum menumpuk di area kampus. Tempat sampah sering penuh dan tidak terpilah.,Menciptakan lingkungan kampus zero waste.,Civitas akademika kampus.,"Reverse Vending Machine (RVM) buatan lokal. Masukkan botol plastik, keluar saldo e-wallet.",Kerjasama dengan pihak kampus untuk penempatan mesin di kantin.,Kami punya desain mekanik mesin. Belum ada prototype fungsi penuh.,Pendapatan dari penjualan cacahan plastik ke pabrik daur ulang.,Pembuatan 1 unit prototype mesin RVM membutuhkan biaya 20 juta.,Success
10,10,Susah cari tukang servis elektronik yang terpercaya dan transparan harganya. Sering ditipu ganti sparepart palsu.,Memberikan rasa aman dan nyaman bagi masyarakat yang membutuhkan perbaikan elektronik.,Ibu rumah tangga dan anak kos yang tidak paham teknis elektronik.,"Platform ""ServisIn"", on-demand service untuk perbaikan AC, Kulkas, TV. Teknisi terverifikasi SKCK.",Iklan Google Search untuk kata kunci 'servis AC Bandung'.,Database 50 teknisi mitra di Bandung.,Bagi hasil 80:20 dengan mitra teknisi.,Pengembangan aplikasi Android untuk mitra dan user.,Success
11,11,Kebutuhan protein tinggi untuk olahragawan biasanya mahal (whey protein).,Menyediakan alternatif protein murah dan ramah lingkungan.,Member gym dan komunitas calisthenics.,"Bar protein dari tepung jangkrik (Cricket Flour). Tinggi protein, rendah lemak.",Endorsement influencer fitness lokal dan sampling di gym.,Kerjasama dengan peternak jangkrik di Cirebon.,"HPP Rp 5.000, Jual Rp 15.000. Margin tinggi.",Sewa alat oven dan kemasan foil printing.,Success
12,12,Sering kehabisan baterai HP saat di luar tapi malas bawa powerbank berat.,Memastikan semua orang tetap terkoneksi tanpa takut lowbat.,Wisatawan dan pejalan kaki di area Braga/Asia Afrika.,"Vending machine sewa powerbank ""PowerRent"". Scan QR, ambil powerbank, kembalikan di stasiun mana saja.",Penempatan mesin di cafe hits dan stasiun kereta.,Tim teknis hardware dan backend developer.,Sewa Rp 5.000 per jam.,Impor mesin vending dari China dan modifikasi software.,Success
13,13,Anak-anak zaman sekarang kecanduan gadget dan kurang gerak. Mainan tradisional mulai punah.,Melestarikan budaya bermain tradisional sekaligus menyehatkan fisik anak.,Orang tua milenial yang khawatir screen-time anak.,"Kit mainan tradisional (Egrang, Gasing) dengan sentuhan desain modern dan warna pop.",Pameran mainan anak dan workshop di sekolah TK/SD.,Pengrajin kayu lokal di Jatinangor.,"Penjualan 100 paket per bulan, omzet 15 juta.",Stok bahan baku kayu albasia dan cat non-toxic.,Success
14,14,Banyak baju pesta atau jas wisuda yang hanya dipakai sekali lalu menumpuk di lemari.,Mengurangi limbah fashion (fast fashion) dengan konsep sharing economy.,Mahasiswa tingkat akhir dan tamu undangan pernikahan.,"Platform sewa baju ""RentStyle"". Bisa sewa H-3, laundry ditanggung kami.",Instagram feeds katalog baju dan kerjasama dengan MUA.,Stok awal 50 kebaya dan 30 jas pria. Ruang penyimpanan di garasi rumah.,Harga sewa 150rb-300rb/3 hari. Balik modal estimasi 8 bulan.,Beli stok baju baru dan biaya dry cleaning rutin.,Success
15,15,Petani lele sering rugi karena harga pakan pabrikan naik terus. Lele kanibal karena telat makan.,Mensejahterakan petani lele dengan teknologi tepat guna.,Petani lele kolam terpal.,"Automatic Feeder ""LeleFeed"" berbasis IoT. Jadwal pakan bisa diatur via HP. Hemat pakan 20%.",Demo alat di kelompok tani perikanan.,Mahasiswa teknik mesin dan informatika.,Harga alat 1.5 juta.,Riset dan pengembangan casing alat tahan air.,Success
16,16,Susah mencari kos-kosan yang sesuai budget dan fasilitas tanpa harus keliling survei manual.,Memudahkan perantau mendapatkan hunian yang layak dan aman.,Mahasiswa baru luar kota.,"Web ""InfoKos Jatinangor"" dengan fitur Virtual Tour 360 derajat kamar kos.",SEO Google dan kerjasama dengan pemilik kos.,Kamera 360 dan skill web development.,Biaya listing premium dari pemilik kos.,Beli kamera 360 yang lebih bagus resolusinya.,Success
17,17,Banyak UMKM yang tidak punya budget sewa desainer grafis mahal untuk konten medsos.,Membantu visual branding UMKM agar terlihat profesional.,UMKM kuliner dan fashion.,"Layanan desain grafis langganan ""DesainKilat"". 500rb/bulan dapat 15 desain feeds.",Ads Instagram target admin olshop.,2 orang desainer grafis lulusan DKV.,Omzet 5 juta bulan lalu.,Upgrade PC spec tinggi untuk render cepat.,Success
